	recipe_title	ingredient
100	b'Quinoa with Asian Flavors'	"b""b'1 cup quinoa'"""
101	b'Quinoa with Asian Flavors'	"b""b'2 cups chicken broth'"""
102	b'Quinoa with Asian Flavors'	"b""b'2 tablespoons soy sauce'"""
103	b'Quinoa with Asian Flavors'	"b""b'1 tablespoon minced fresh ginger root'"""
104	b'Quinoa with Asian Flavors'	"b""b'1 clove garlic, minced'"""
105	b'Quinoa with Asian Flavors'	"b""b'2 green onions, chopped'"""
106	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 head cauliflower, stemmed and chopped'"""
107	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'2 large cucumbers, seeded and chopped'"""
108	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 (8 ounce) package baby carrots, chopped'"""
109	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'8 ounces radishes, chopped'"""
110	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 (8 ounce) package mushrooms, stemmed and chopped'"""
111	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'4 ounces cilantro, chopped'"""
112	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'4 leaves kale, stemmed and chopped'"""
113	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 large poblano pepper, seeded and chopped'"""
114	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1/2 cup lime juice'"""
115	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1/2 cup white vinegar'"""
116	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'2 tablespoons ground paprika'"""
117	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 tablespoon extra-virgin olive oil'"""
118	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 tablespoon minced garlic'"""
119	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 tablespoon minced fresh oregano'"""
120	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 tablespoon ground cumin'"""
121	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 teaspoon chili powder'"""
122	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1/2 teaspoon ground cloves'"""
123	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1/2 teaspoon ground coriander'"""
124	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 pinch salt and ground black pepper to taste'"""
125	b'Khitchari'	"b""b'4 cups water'"""
126	b'Khitchari'	"b""b'1/2 cup basmati rice'"""
127	b'Khitchari'	"b""b'1/2 cup split mung beans'"""
128	b'Khitchari'	"b""b'1 teaspoon grated fresh ginger, or more to taste'"""
129	b'Khitchari'	"b""b'1 teaspoon ground coriander'"""
130	b'Khitchari'	"b""b'1 teaspoon dried oregano leaves'"""
131	b'Khitchari'	"b""b'1 clove garlic, minced'"""
132	b'Khitchari'	"b""b'1/2 teaspoon ground cumin'"""
133	b'Khitchari'	"b""b'1/4 teaspoon fennel seeds'"""
134	b'Hummingbird Carrot Cake Oatmeal'	"b""b'2/3 cup chopped fresh pineapple'"""
135	b'Hummingbird Carrot Cake Oatmeal'	"b""b'1/2 cup sliced carrot'"""
136	b'Hummingbird Carrot Cake Oatmeal'	"b""b'1 teaspoon water'"""
137	b'Hummingbird Carrot Cake Oatmeal'	"b""b'2/3 cup almond milk'"""
138	b'Hummingbird Carrot Cake Oatmeal'	"b""b'1/2 cup old-fashioned oats'"""
139	b'Hummingbird Carrot Cake Oatmeal'	"b""b'1/2 teaspoon ground cinnamon (optional)'"""
140	b'Hummingbird Carrot Cake Oatmeal'	"b""b'1/2 teaspoon ground ginger'"""
141	b'Hummingbird Carrot Cake Oatmeal'	"b""b'1 tablespoon chopped walnuts'"""
142	b'Quinoa and Black Beans'	"b""b'1 teaspoon vegetable oil'"""
143	b'Quinoa and Black Beans'	"b""b'1 onion, chopped'"""
144	b'Quinoa and Black Beans'	"b""b'3 cloves garlic, chopped'"""
145	b'Quinoa and Black Beans'	"b""b'3/4 cup quinoa'"""
146	b'Quinoa and Black Beans'	"b""b'1 1/2 cups vegetable broth'"""
147	b'Quinoa and Black Beans'	"b""b'1 teaspoon ground cumin'"""
148	b'Quinoa and Black Beans'	"b""b'1/4 teaspoon cayenne pepper'"""
149	b'Quinoa and Black Beans'	"b""b'salt and ground black pepper to taste'"""
150	b'Quinoa and Black Beans'	"b""b'1 cup frozen corn kernels'"""
151	b'Quinoa and Black Beans'	"b""b'2 (15 ounce) cans black beans, rinsed and drained'"""
152	b'Quinoa and Black Beans'	"b""b'1/2 cup chopped fresh cilantro'"""
153	b'Maple Salmon'	"b""b'1/4 cup maple syrup'"""
154	b'Maple Salmon'	"b""b'2 tablespoons soy sauce'"""
155	b'Maple Salmon'	"b""b'1 clove garlic, minced'"""
156	b'Maple Salmon'	"b""b'1/4 teaspoon garlic salt'"""
157	b'Maple Salmon'	"b""b'1/8 teaspoon ground black pepper'"""
158	b'Maple Salmon'	"b""b'1 pound salmon'"""
159	b'Chop Chop Salad'	"b""b'1 red grapefruit'"""
160	b'Chop Chop Salad'	"b""b'1 cup peeled, chopped jicama'"""
161	b'Chop Chop Salad'	"b""b'1 cup chopped orange bell pepper'"""
162	b'Chop Chop Salad'	"b""b'1 cup chopped cucumber'"""
163	b'Chop Chop Salad'	"b""b'1 tomato, chopped'"""
164	b'Chop Chop Salad'	"b""b'2 green onions, chopped'"""
165	b'Chop Chop Salad'	"b""b'1/4 cup chopped fresh cilantro'"""
166	b'Healthy Turmeric Chicken Stew'	"b""b'2 tablespoons olive oil'"""
167	b'Healthy Turmeric Chicken Stew'	"b""b'2 skinless, boneless chicken breasts, cubed'"""
168	b'Healthy Turmeric Chicken Stew'	"b""b'2 sweet potatoes, cubed'"""
169	b'Healthy Turmeric Chicken Stew'	"b""b'1/2 red onion, chopped'"""
170	b'Healthy Turmeric Chicken Stew'	"b""b'1 small eggplant, cubed'"""
171	b'Healthy Turmeric Chicken Stew'	"b""b'2 cloves garlic, minced'"""
172	b'Healthy Turmeric Chicken Stew'	"b""b'1 tablespoon minced fresh ginger root'"""
173	b'Healthy Turmeric Chicken Stew'	"b""b'2 teaspoons ground turmeric'"""
174	b'Healthy Turmeric Chicken Stew'	"b""b'1/2 cup low-sodium chicken broth'"""
175	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'4 oranges'"""
176	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'3 blood oranges'"""
177	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'1 small onion, finely diced'"""
178	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'3 tablespoons olive oil'"""
179	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'2 tablespoons lemon juice'"""
180	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'salt'"""
181	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'1 pinch freshly ground black pepper'"""
182	b'Turkish Orange Salad with Mediterranean Dressing'	"b""b'10 dried black olives'"""
183	b'Acai Smoothie Bowl'	"b""b'1 large banana, divided'"""
184	b'Acai Smoothie Bowl'	"b""b'3 1/2 ounces acai berry pulp, frozen, unsweetened'"""
185	b'Acai Smoothie Bowl'	"b""b'2 tablespoons soy milk, or more as needed'"""
186	b'Acai Smoothie Bowl'	"b""b'2 tablespoons granola'"""
187	b'Orange Roasted Salmon'	"b""b'2 oranges, sliced into rounds'"""
188	b'Orange Roasted Salmon'	"b""b'1 onion, thinly sliced'"""
189	b'Orange Roasted Salmon'	"b""b'1 1/2 tablespoons olive oil'"""
190	b'Orange Roasted Salmon'	"b""b'5 (6 ounce) salmon fillets'"""
191	b'Orange Roasted Salmon'	"b""b'1 tablespoon lemon pepper'"""
192	b'Orange Roasted Salmon'	"b""b'1 1/2 teaspoons garlic powder'"""
193	b'Orange Roasted Salmon'	"b""b'1 tablespoon dried parsley'"""
194	b'Orange Roasted Salmon'	"b""b'1/2 cup orange juice'"""
195	b'Orange Roasted Salmon'	"b""b'1 1/2 tablespoons lemon juice'"""
196	b'Orange Roasted Salmon'	"b""b'1 tablespoon honey'"""
197	b'Quinoa with Asian Flavors'	"b""b'1 tablespoon extra-virgin olive oil'"""
198	b'Quinoa with Asian Flavors'	"b""b'1 cup quinoa'"""
199	b'Quinoa with Asian Flavors'	"b""b'2 cups chicken broth'"""
200	b'Quinoa with Asian Flavors'	"b""b'2 tablespoons soy sauce'"""
201	b'Quinoa with Asian Flavors'	"b""b'1 tablespoon minced fresh ginger root'"""
202	b'Quinoa with Asian Flavors'	"b""b'1 clove garlic, minced'"""
203	b'Quinoa with Asian Flavors'	"b""b'2 green onions, chopped'"""
204	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 head cauliflower, stemmed and chopped'"""
205	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'2 large cucumbers, seeded and chopped'"""
206	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 (8 ounce) package baby carrots, chopped'"""
207	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'8 ounces radishes, chopped'"""
208	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 (8 ounce) package mushrooms, stemmed and chopped'"""
209	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'4 ounces cilantro, chopped'"""
210	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'4 leaves kale, stemmed and chopped'"""
211	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 large poblano pepper, seeded and chopped'"""
212	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1/2 cup lime juice'"""
213	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1/2 cup white vinegar'"""
214	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'2 tablespoons ground paprika'"""
215	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 tablespoon extra-virgin olive oil'"""
216	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 tablespoon minced garlic'"""
217	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 tablespoon minced fresh oregano'"""
218	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 tablespoon ground cumin'"""
219	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 teaspoon chili powder'"""
220	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1/2 teaspoon ground cloves'"""
221	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1/2 teaspoon ground coriander'"""
222	b'Chorizo-Spiced Party-Sized Chopped Veggie Salad'	"b""b'1 pinch salt and ground black pepper to taste'"""
223	b'Khitchari'	"b""b'4 cups water'"""
224	b'Khitchari'	"b""b'1/2 cup basmati rice'"""
225	b'Khitchari'	"b""b'1/2 cup split mung beans'"""
226	b'Khitchari'	"b""b'1 teaspoon grated fresh ginger, or more to taste'"""
227	b'Khitchari'	"b""b'1 teaspoon ground coriander'"""
228	b'Khitchari'	"b""b'1 teaspoon dried oregano leaves'"""
229	b'Khitchari'	"b""b'1 clove garlic, minced'"""
230	b'Khitchari'	"b""b'1/2 teaspoon ground cumin'"""
231	b'Khitchari'	"b""b'1/4 teaspoon fennel seeds'"""
232	b'Hummingbird Carrot Cake Oatmeal'	"b""b'2/3 cup chopped fresh pineapple'"""
233	b'Hummingbird Carrot Cake Oatmeal'	"b""b'1/2 cup sliced carrot'"""
234	b'Hummingbird Carrot Cake Oatmeal'	"b""b'1 teaspoon water'"""
235	b'Hummingbird Carrot Cake Oatmeal'	"b""b'2/3 cup almond milk'"""
236	b'Hummingbird Carrot Cake Oatmeal'	"b""b'1/2 cup old-fashioned oats'"""
237	b'Hummingbird Carrot Cake Oatmeal'	"b""b'1/2 teaspoon ground cinnamon (optional)'"""
238	b'Hummingbird Carrot Cake Oatmeal'	"b""b'1/2 teaspoon ground ginger'"""
239	b'Hummingbird Carrot Cake Oatmeal'	"b""b'1 tablespoon chopped walnuts'"""
240	b'Quinoa and Black Beans'	"b""b'1 teaspoon vegetable oil'"""
241	b'Quinoa and Black Beans'	"b""b'1 onion, chopped'"""
242	b'Quinoa and Black Beans'	"b""b'3 cloves garlic, chopped'"""
243	b'Quinoa and Black Beans'	"b""b'3/4 cup quinoa'"""
244	b'Quinoa and Black Beans'	"b""b'1 1/2 cups vegetable broth'"""
245	b'Quinoa and Black Beans'	"b""b'1 teaspoon ground cumin'"""
246	b'Quinoa and Black Beans'	"b""b'1/4 teaspoon cayenne pepper'"""
247	b'Quinoa and Black Beans'	"b""b'salt and ground black pepper to taste'"""
248	b'Quinoa and Black Beans'	"b""b'1 cup frozen corn kernels'"""
249	b'Quinoa and Black Beans'	"b""b'2 (15 ounce) cans black beans, rinsed and drained'"""
250	b'Quinoa and Black Beans'	"b""b'1/2 cup chopped fresh cilantro'"""
251	b'Maple Salmon'	"b""b'1/4 cup maple syrup'"""
252	b'Maple Salmon'	"b""b'2 tablespoons soy sauce'"""
253	b'Maple Salmon'	"b""b'1 clove garlic, minced'"""
254	b'Maple Salmon'	"b""b'1/4 teaspoon garlic salt'"""
255	b'Maple Salmon'	"b""b'1/8 teaspoon ground black pepper'"""
256	b'Maple Salmon'	"b""b'1 pound salmon'"""
257	b'Braised Balsamic Chicken'	"b""b'6 skinless, boneless chicken breast halves'"""
258	b'Braised Balsamic Chicken'	"b""b'1 teaspoon garlic salt'"""
259	b'Braised Balsamic Chicken'	"b""b'ground black pepper to taste'"""
260	b'Braised Balsamic Chicken'	"b""b'2 tablespoons olive oil'"""
261	b'Braised Balsamic Chicken'	"b""b'1 onion, thinly sliced'"""
262	b'Braised Balsamic Chicken'	"b""b'1 (14.5 ounce) can diced tomatoes'"""
263	b'Braised Balsamic Chicken'	"b""b'1/2 cup balsamic vinegar'"""
264	b'Braised Balsamic Chicken'	"b""b'1 teaspoon dried basil'"""
265	b'Braised Balsamic Chicken'	"b""b'1 teaspoon dried oregano'"""
266	b'Braised Balsamic Chicken'	"b""b'1 teaspoon dried rosemary'"""
267	b'Braised Balsamic Chicken'	"b""b'1/2 teaspoon dried thyme'"""
268	"b""Annie's Fruit Salsa and Cinnamon Chips"""	"b""b'2 kiwis, peeled and diced'"""
269	"b""Annie's Fruit Salsa and Cinnamon Chips"""	"b""b'2 Golden Delicious apples - peeled, cored and diced'"""
270	"b""Annie's Fruit Salsa and Cinnamon Chips"""	"b""b'8 ounces raspberries'"""
271	"b""Annie's Fruit Salsa and Cinnamon Chips"""	"b""b'1 pound strawberries'"""
272	"b""Annie's Fruit Salsa and Cinnamon Chips"""	"b""b'2 tablespoons white sugar'"""
273	"b""Annie's Fruit Salsa and Cinnamon Chips"""	"b""b'1 tablespoon brown sugar'"""
274	"b""Annie's Fruit Salsa and Cinnamon Chips"""	"b""b'3 tablespoons fruit preserves, any flavor'"""
275	"b""Annie's Fruit Salsa and Cinnamon Chips"""	"b""b'10 (10 inch) flour tortillas'"""
276	"b""Annie's Fruit Salsa and Cinnamon Chips"""	"b""b'butter flavored cooking spray'"""
277	"b""Annie's Fruit Salsa and Cinnamon Chips"""	"b""b'2 tablespoons cinnamon sugar'"""
278	b'Homemade Black Bean Veggie Burgers'	"b""b'1 (16 ounce) can black beans, drained and rinsed'"""
279	b'Homemade Black Bean Veggie Burgers'	"b""b'1/2 green bell pepper, cut into 2 inch pieces'"""
280	b'Homemade Black Bean Veggie Burgers'	"b""b'1/2 onion, cut into wedges'"""
281	b'Homemade Black Bean Veggie Burgers'	"b""b'3 cloves garlic, peeled'"""
282	b'Homemade Black Bean Veggie Burgers'	"b""b'1 egg'"""
283	b'Homemade Black Bean Veggie Burgers'	"b""b'1 tablespoon chili powder'"""
284	b'Homemade Black Bean Veggie Burgers'	"b""b'1 tablespoon cumin'"""
285	b'Homemade Black Bean Veggie Burgers'	"b""b'1 teaspoon Thai chili sauce or hot sauce'"""
286	b'Homemade Black Bean Veggie Burgers'	"b""b'1/2 cup bread crumbs'"""
287	b'Amazing Pork Tenderloin in the Slow Cooker'	"b""b'1 (2 pound) pork tenderloin'"""
288	b'Amazing Pork Tenderloin in the Slow Cooker'	"b""b'1 (1 ounce) envelope dry onion soup mix'"""
289	b'Amazing Pork Tenderloin in the Slow Cooker'	"b""b'1 cup water'"""
290	b'Amazing Pork Tenderloin in the Slow Cooker'	"b""b'3/4 cup red wine'"""
291	b'Amazing Pork Tenderloin in the Slow Cooker'	"b""b'3 tablespoons minced garlic'"""
292	b'Amazing Pork Tenderloin in the Slow Cooker'	"b""b'3 tablespoons soy sauce'"""
293	b'Amazing Pork Tenderloin in the Slow Cooker'	"b""b'freshly ground black pepper to taste'"""
294	b'Baked Honey Mustard Chicken'	"b""b'6 skinless, boneless chicken breast halves'"""
295	b'Baked Honey Mustard Chicken'	"b""b'salt and pepper to taste'"""
296	b'Baked Honey Mustard Chicken'	"b""b'1/2 cup honey'"""
297	b'Baked Honey Mustard Chicken'	"b""b'1/2 cup prepared mustard'"""
298	b'Baked Honey Mustard Chicken'	"b""b'1 teaspoon dried basil'"""
299	b'Baked Honey Mustard Chicken'	"b""b'1 teaspoon paprika'"""
300	b'Baked Honey Mustard Chicken'	"b""b'1/2 teaspoon dried parsley'"""
301	"b""Sarah's Applesauce"""	"b""b'4 apples - peeled, cored and chopped'"""
302	"b""Sarah's Applesauce"""	"b""b'3/4 cup water'"""
303	"b""Sarah's Applesauce"""	"b""b'1/4 cup white sugar'"""
304	"b""Sarah's Applesauce"""	"b""b'1/2 teaspoon ground cinnamon'"""
305	b'Lentil Soup'	"b""b'1 onion, chopped'"""
306	b'Lentil Soup'	"b""b'1/4 cup olive oil'"""
307	b'Lentil Soup'	"b""b'2 carrots, diced'"""
308	b'Lentil Soup'	"b""b'2 stalks celery, chopped'"""
309	b'Lentil Soup'	"b""b'2 cloves garlic, minced'"""
310	b'Lentil Soup'	"b""b'1 teaspoon dried oregano'"""
311	b'Lentil Soup'	"b""b'1 bay leaf'"""
312	b'Lentil Soup'	"b""b'1 teaspoon dried basil'"""
313	b'Lentil Soup'	"b""b'1 (14.5 ounce) can crushed tomatoes'"""
314	b'Lentil Soup'	"b""b'2 cups dry lentils'"""
315	b'Lentil Soup'	"b""b'8 cups water'"""
316	b'Lentil Soup'	"b""b'1/2 cup spinach, rinsed and thinly sliced'"""
317	b'Lentil Soup'	"b""b'2 tablespoons vinegar'"""
318	b'Lentil Soup'	"b""b'salt to taste'"""
319	b'Lentil Soup'	"b""b'ground black pepper to taste'"""
320	b'Exquisite Pizza Sauce'	"b""b'1 (6 ounce) can tomato paste'"""
321	b'Exquisite Pizza Sauce'	"b""b'6 fluid ounces warm water (110 degrees F/45 degrees C)'"""
322	b'Exquisite Pizza Sauce'	"b""b'3 tablespoons grated Parmesan cheese'"""
323	b'Exquisite Pizza Sauce'	"b""b'1 teaspoon minced garlic'"""
324	b'Exquisite Pizza Sauce'	"b""b'2 tablespoons honey'"""
325	b'Exquisite Pizza Sauce'	"b""b'1 teaspoon anchovy paste (optional)'"""
326	b'Exquisite Pizza Sauce'	"b""b'3/4 teaspoon onion powder'"""
327	b'Exquisite Pizza Sauce'	"b""b'1/4 teaspoon dried oregano'"""
328	b'Exquisite Pizza Sauce'	"b""b'1/4 teaspoon dried marjoram'"""
